red_fighter,blue_fighter,snapshot_date,winner,age_diff,height_diff,reach_diff,experience_diff,wins_diff,losses_diff,win_rate_diff,win_streak_diff,lose_streak_diff,momentum_diff,ko_rate_diff,submission_rate_diff,decision_rate_diff,fight_time_diff,sig_strike_diff,takedown_diff,submission_attempt_diff
Ricky Turcios,Alberto Montes,2026-03-07,Blue,0.0,5.079999999999984,5.0800000000000125,5.0,2.0,3.0,0.4,0.0,2.0,-2.0,0.0,0.0,1.0,808.4,4.68,0.85,0.3
Cody Durden,Nyamjargal Tumendemberel,2026-03-07,Blue,8.0,0.0,-10.159999999999997,12.0,6.0,6.0,0.462,0.0,2.0,-2.0,0.167,0.167,0.667,-333.16999999999996,0.20999999999999996,1.4700000000000002,-1.7999999999999998
Sumudaerji,Jesus Aguilar,2026-03-07,Red,0.0,10.159999999999997,25.400000000000006,-1.0,-2.0,1.0,-0.267,1.0,0.0,1.0,-0.25,-0.25,0.5,178.5300000000001,1.8899999999999997,-0.85,-0.6000000000000001
Rafael Tobias,Diyar Nurgozhay,2026-03-07,Blue,-6.0,0.0,0.0,-2.0,0.0,-2.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,-276.5,-4.52,-1.37,0.0
Luke Fernandez,Rodolfo Bellato,2026-03-07,Blue,1.0,-5.0800000000000125,2.539999999999992,-4.0,-1.0,-1.0,-0.5,0.0,-1.0,1.0,-1.0,0.0,0.0,-664.0,-5.37,-1.38,-0.2
Brandon Moreno,Lone'er Kavanagh,2026-02-28,Blue,5.0,2.5400000000000205,7.6200000000000045,14.0,9.0,5.0,-0.020000000000000018,0.0,0.0,0.0,0.273,0.273,-0.636,231.86,-0.29000000000000004,0.24,0.2
Marlon Vera,David Martinez,2026-02-28,Blue,5.0,7.6200000000000045,7.6200000000000045,23.0,13.0,10.0,-0.4,-2.0,3.0,-5.0,-0.032999999999999974,0.267,-0.3,240.14,-0.6400000000000006,-0.13,0.8
Daniel Zellhuber,King Green,2026-02-28,Blue,-13.0,7.619999999999976,15.240000000000009,-1.0,-1.0,0.0,-0.07099999999999995,-1.0,2.0,-3.0,-0.25,0.08300000000000002,0.16700000000000004,373.62000000000006,-0.9299999999999997,-1.17,0.0
Edgar Chairez,Felipe Bunes,2026-02-28,Red,-6.0,0.0,5.0800000000000125,1.0,1.0,0.0,0.16699999999999998,1.0,-1.0,2.0,0.0,0.0,0.0,-9.919999999999959,0.48,-1.08,-0.09999999999999987
Imanol Rodriguez,Kevin Borjas,2026-02-28,Red,-1.0,-2.539999999999992,-10.159999999999997,-4.0,-1.0,-3.0,-0.25,0.0,-1.0,1.0,0.0,0.0,-1.0,-773.75,-3.96,0.0,0.0
Santiago Luna,Angel Pacheco,2026-02-28,Red,-11.0,2.539999999999992,10.159999999999997,0.0,1.0,-1.0,1.0,1.0,-1.0,2.0,1.0,0.0,0.0,-732.0,-1.3000000000000007,4.21,0.8
Ryan Gandra,Jose Daniel Medina,2026-02-28,Red,-4.0,2.539999999999992,0.0,-3.0,0.0,-3.0,0.0,0.0,-3.0,3.0,0.0,0.0,0.0,-457.67,-2.13,-0.39,0.0
Ailin Perez,Macy Chiasson,2026-02-28,Red,-4.0,-15.240000000000009,-15.240000000000009,-7.0,-3.0,-4.0,0.21799999999999997,5.0,-2.0,7.0,-0.375,-0.04999999999999999,0.42500000000000004,124.16999999999996,-0.33000000000000007,3.0300000000000002,-0.2
Cristian Quinonez,Kris Moutinho,2026-02-28,Red,-5.0,2.539999999999992,5.0800000000000125,0.0,1.0,-1.0,0.333,0.0,-1.0,1.0,1.0,0.0,0.0,-31.0,0.8400000000000003,1.37,0.0
Douglas Silva de Andrade,Javier Reyes,2026-02-28,Blue,6.0,0.0,-12.699999999999989,13.0,7.0,6.0,0.538,0.0,1.0,-1.0,0.286,0.143,0.571,738.08,3.54,0.55,0.2
Regina Tarin,Ernesta Kareckaite,2026-02-28,Red,-5.0,-5.079999999999984,-12.700000000000017,-2.0,-1.0,-1.0,-0.5,-1.0,0.0,-1.0,0.0,0.0,-1.0,-900.0,-7.28,-0.75,0.0
Erik Silva,Francis Marshall,2026-02-28,Blue,10.0,0.0,-2.539999999999992,-3.0,-2.0,-1.0,-0.4,0.0,1.0,-1.0,-0.5,0.0,-0.5,-239.89999999999998,-1.3200000000000003,0.8999999999999999,-0.6
Damian Pinas,Wes Schultz,2026-02-28,Red,-6.0,0.0,5.079999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sean Strickland,Anthony Hernandez,2026-02-21,Red,2.0,2.539999999999992,2.539999999999992,12.0,7.0,5.0,-0.122,-8.0,1.0,-9.0,0.027999999999999997,-0.556,0.46599999999999997,329.4699999999999,1.4699999999999998,-5.17,-1.4000000000000001
Geoff Neal,Uros Medic,2026-02-21,Blue,2.0,-5.079999999999984,10.159999999999997,4.0,2.0,2.0,-0.052000000000000046,-2.0,1.0,-3.0,-0.375,0.125,0.25,234.26999999999998,-0.5700000000000003,0.2,0.1
Dan Ige,Melquizael Costa,2026-02-21,Blue,4.0,-7.6200000000000045,0.0,12.0,5.0,7.0,-0.19999999999999996,-5.0,1.0,-6.0,0.28800000000000003,-0.24200000000000002,-0.044999999999999984,223.54999999999995,-0.7799999999999998,-1.0699999999999998,-0.9000000000000001
Serghei Spivac,Ante Delija,2026-02-21,Red,-5.0,0.0,0.0,12.0,7.0,5.0,0.07099999999999995,0.0,1.0,-1.0,-0.625,0.375,0.25,285.0,-0.7100000000000004,3.82,0.5
Jacobe Smith,Josiah Harrell,2026-02-21,Red,2.0,7.6200000000000045,10.159999999999997,2.0,2.0,0.0,1.0,2.0,0.0,2.0,0.5,0.5,0.0,308.0,6.89,7.78,0.7
Zach Reese,Michel Pereira,2026-02-21,Blue,0.0,7.6200000000000045,10.160000000000025,-10.0,-7.0,-4.0,0.02400000000000002,1.0,-3.0,4.0,-0.222,0.16699999999999998,0.055999999999999994,-196.91999999999996,0.020000000000000462,1.5899999999999999,0.6000000000000001
Chidi Njokuani,Carlos Leal,2026-02-21,Blue,5.0,10.159999999999997,15.23999999999998,6.0,4.0,2.0,0.22300000000000003,0.0,0.0,0.0,-0.4,0.0,0.4,62.34000000000003,-3.59,-0.43,0.1
Ode Osbourne,Alibi Idiris,2026-02-21,Blue,3.0,2.5400000000000205,12.699999999999989,9.0,4.0,5.0,0.4,0.0,0.0,0.0,0.5,0.0,0.5,45.60000000000002,0.43000000000000016,-2.31,0.4
Alden Coria,Luis Gurule,2026-02-21,Red,-4.0,7.6200000000000045,7.6200000000000045,-1.0,1.0,-2.0,1.0,1.0,-2.0,3.0,1.0,0.0,0.0,-10.0,0.22000000000000064,1.17,0.0
Nora Cornolle,Joselyne Edwards,2026-02-21,Blue,6.0,-2.539999999999992,-7.6200000000000045,-5.0,-4.0,-1.0,-0.09999999999999998,-3.0,1.0,-4.0,0.04700000000000004,0.19000000000000003,-0.23799999999999993,-10.17999999999995,-1.8800000000000003,-1.21,-0.39999999999999997
Ramiz Brahimaj,Punahele Soriano,2026-02-21,Blue,0.0,-2.539999999999992,0.0,-2.0,-1.0,-1.0,0.025000000000000022,0.0,0.0,0.0,-0.467,0.8,-0.333,-165.47000000000003,-2.13,0.020000000000000018,1.5
Phil Rowe,Jean-Paul Lebosnoyani,2026-02-21,Blue,8.0,10.159999999999997,20.319999999999993,7.0,4.0,3.0,0.571,0.0,1.0,-1.0,1.0,0.0,0.0,763.57,3.51,0.46,0.2
Jordan Leavitt,Yadier del Valle,2026-02-21,Red,0.0,0.0,5.0800000000000125,6.0,3.0,3.0,-0.375,-1.0,0.0,-1.0,0.4,-0.6,0.2,247.5,-1.8399999999999999,1.92,-0.8999999999999999
Juliana Miller,Carli Judice,2026-02-21,Blue,2.0,0.0,-5.0800000000000125,1.0,0.0,1.0,-0.16700000000000004,-1.0,0.0,-1.0,-0.5,0.0,0.5,151.16999999999996,-6.67,1.6400000000000001,1.2
Mario Bautista,Vinicius Oliveira,2026-02-07,Red,3.0,0.0,-2.5400000000000205,9.0,6.0,3.0,-0.23099999999999998,-4.0,1.0,-5.0,-0.15,0.3,-0.15000000000000002,-266.0,0.5699999999999994,0.45999999999999996,0.6000000000000001
Amir Albazi,Kyoji Horiguchi,2026-02-07,Blue,-4.0,2.539999999999992,12.699999999999989,-3.0,-3.0,0.0,-0.05600000000000005,-4.0,1.0,-5.0,-0.04999999999999999,0.275,-0.22499999999999998,24.909999999999968,-1.0499999999999998,-0.2200000000000002,0.4
Jailton Almeida,Rizvan Kuniev,2026-02-07,Blue,1.0,-2.539999999999992,7.6200000000000045,9.0,8.0,1.0,0.8,0.0,0.0,0.0,0.375,0.5,0.125,-440.6,-1.71,4.66,1.7
Michal Oleksiejczuk,Marc-Andre Barriault,2026-02-07,Red,-5.0,-2.539999999999992,0.0,0.0,2.0,-2.0,0.12400000000000005,2.0,-1.0,3.0,0.31800000000000006,-0.143,-0.175,-238.84999999999997,0.1999999999999993,0.6799999999999999,-0.1
Jean Matsumoto,Farid Basharat,2026-02-07,Blue,-3.0,-5.0800000000000125,-7.6200000000000045,-1.0,-2.0,1.0,-0.25,-4.0,0.0,-4.0,0.0,0.133,-0.133,53.75,1.12,-0.33999999999999986,0.2
Dustin Jacoby,Julius Walker,2026-02-07,Red,11.0,-2.539999999999992,-5.0800000000000125,13.0,8.0,5.0,0.09999999999999998,1.0,0.0,1.0,0.667,0.0,-0.667,-316.85,1.6700000000000004,-3.77,0.0
Alex Morono,Daniil Donchenko,2026-02-07,Blue,10.0,0.0,2.539999999999992,21.0,12.0,9.0,-0.40900000000000003,-1.0,3.0,-4.0,-0.846,0.154,0.615,473.0,-2.25,-0.45,0.3
Nikolay Veretennikov,Niko Price,2026-02-07,Red,0.0,2.539999999999992,-5.079999999999984,-13.0,-7.0,-6.0,-0.22099999999999997,0.0,-1.0,1.0,-0.5,-0.25,0.75,310.19,-2.4200000000000004,-0.6400000000000001,-0.19999999999999996
Bruna Brasil,Ketlen Souza,2026-02-07,Blue,1.0,7.619999999999976,5.079999999999984,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,-0.5,0.5,215.0,-1.4499999999999997,0.77,-0.1
Javid Basharat,Gianni Vazquez,2026-02-07,Red,-2.0,5.079999999999984,-5.0800000000000125,5.0,3.0,2.0,0.6,0.0,2.0,-2.0,0.0,0.0,1.0,767.6,5.18,1.83,0.1
Wang Cong,Eduarda Moura,2026-02-07,Red,2.0,0.0,-2.5400000000000205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-185.75,3.65,-2.8,0.4
Muin Gafurov,Jakub Wiklacz,2026-02-07,Blue,-1.0,-7.6200000000000045,-10.159999999999997,3.0,1.0,2.0,-0.5,1.0,0.0,1.0,0.0,0.0,0.0,-206.75,-0.040000000000000036,1.57,-2.5
Klaudia Sygula,Priscila Cachoeira,2026-02-07,Red,-10.0,2.539999999999992,10.159999999999997,-10.0,-4.0,-6.0,0.08300000000000002,1.0,-1.0,2.0,-0.8,0.0,0.8,133.55,2.84,0.15999999999999998,0.0
Alexander Volkanovski,Diego Lopes,2026-01-31,Red,6.0,-12.700000000000017,-2.539999999999992,9.0,8.0,1.0,0.07399999999999995,0.0,0.0,0.0,-0.14300000000000002,-0.167,0.31,348.0,2.16,0.7499999999999999,-1.2
Dan Hooker,Benoit Saint Denis,2026-01-31,Blue,6.0,2.539999999999992,5.0800000000000125,12.0,6.0,6.0,-0.118,-3.0,1.0,-4.0,0.0,-0.357,0.357,214.22999999999996,-0.7999999999999998,-3.5100000000000002,-1.2000000000000002
