winner,fighter_red,fighter_blue,age_diff,height_diff,reach_diff,sig_strike_diff,sig_accuracy_diff,td_diff,td_accuracy_diff,submission_diff,wins_diff,losses_diff,win_streak_diff,lose_streak_diff,strike_defense_diff,td_defense_diff,title_fight,rounds
Red,Tim Means,Alex Garcia,4,12.700000000000017,7.6200000000000045,17.9762,0.14400000000000002,-2.7619,-0.26,0.1429,4,4,-1,2,0.14400000000000002,-0.26,False,3
Blue,BJ Penn,Dennis Siver,0,7.6200000000000045,0.0,-1.841699999999996,0.196,0.4332999999999999,0.06000000000000005,0.25,1,3,0,3,0.196,0.06000000000000005,False,3
Red,Clay Guida,Erik Koch,7,-7.6200000000000045,-2.539999999999992,10.310500000000001,-0.03500000000000003,2.3665000000000003,0.306,-0.24839999999999995,8,8,-1,2,-0.03500000000000003,0.306,False,3
Blue,Vitor Miranda,Marvin Vettori,15,2.539999999999992,7.6200000000000045,13.5,-0.0020000000000000018,-0.6,-0.7,-1.0,2,1,0,0,-0.0020000000000000018,-0.7,False,3
Blue,Devin Powell,Darrell Horcher,0,5.079999999999984,7.619999999999976,16.0,0.05000000000000002,0.0,0.0,0.0,0,0,0,0,0.05000000000000002,0.0,False,3
Red,Jared Gordon,Michel Quinones,-4,-2.5400000000000205,-12.699999999999989,,,,,,0,0,0,0,,,False,3
Red,Anthony Rocco Martin,Johnny Case,0,5.079999999999984,2.539999999999992,-19.700000000000003,0.006000000000000005,-0.6333,0.02400000000000002,0.8333,-1,2,2,-1,0.006000000000000005,0.02400000000000002,False,3
Blue,Josh Stansbury,Jeremy Kimball,6,5.0800000000000125,5.0800000000000125,43.5,0.26500000000000007,0.0,0.0,1.0,1,0,0,0,0.26500000000000007,0.0,False,3
Red,Holly Holm,Bethe Correia,2,7.6200000000000045,12.699999999999989,0.3095999999999961,-0.10499999999999998,-0.0953,0.22600000000000003,0.0,-1,0,0,2,-0.10499999999999998,0.22600000000000003,False,5
Blue,Andrei Arlovski,Marcin Tybura,7,0.0,-2.539999999999992,-16.303099999999997,-0.02999999999999997,-0.5303,-0.16300000000000003,0.2273,12,7,-2,4,-0.02999999999999997,-0.16300000000000003,False,3
Blue,Dong Hyun Kim,Colby Covington,6,7.6200000000000045,10.159999999999997,-2.3194000000000017,-0.06899999999999995,-2.5378,-0.12799999999999995,0.1849,7,3,0,0,-0.06899999999999995,-0.12799999999999995,False,3
Blue,Tarec Saffiedine,Rafael Dos Anjos,-2,5.0800000000000125,0.0,21.2857,0.029000000000000026,-1.2570999999999999,-0.188,-0.3714,-12,-4,0,0,0.029000000000000026,-0.188,False,3
Blue,Takanori Gomi,Jon Tuck,6,-10.159999999999997,-7.619999999999976,-7.389599999999994,-0.10099999999999998,-0.3377,-0.040999999999999995,-0.7143,1,3,0,1,-0.10099999999999998,-0.040999999999999995,False,3
Blue,Cyril Asker,Walt Harris,-3,-12.700000000000017,-7.6200000000000045,-6.833300000000001,0.024999999999999967,0.5,0.5,-0.1667,-1,-3,0,0,0.024999999999999967,0.5,False,3
Red,Alex Caceres,Rolando Dy,2,5.0800000000000125,10.159999999999997,,,,,,7,9,0,2,,,False,3
Blue,Justin Scoggins,Ulka Sasaki,-2,-7.6200000000000045,-12.700000000000017,27.428600000000003,0.17099999999999999,1.9429,0.508,-0.1714,2,0,0,0,0.17099999999999999,0.508,False,3
Blue,Kwan Ho Kwak,Russell Doane,-3,-5.0800000000000125,0.0,33.3333,-0.007000000000000006,-1.6667,-0.222,-0.6667,-2,-3,0,-3,-0.007000000000000006,-0.222,False,3
Red,Naoki Inoue,Carls John De Tomas,0,10.159999999999997,0.0,,,,,,0,0,0,0,,,False,3
Blue,Ji Yeon Kim,Lucie Pudilova,4,-2.539999999999992,12.699999999999989,,,,,,0,-1,0,-1,,,False,3
Blue,Derrick Lewis,Mark Hunt,-11,12.699999999999989,17.78,-2.2143000000000015,0.14999999999999997,-0.13640000000000002,0.014000000000000012,-0.0714,2,-5,6,-2,0.14999999999999997,0.014000000000000012,False,5
Red,Derek Brunson,Daniel Kelly,-6,2.539999999999992,17.78,-20.0,0.08299999999999996,-0.12860000000000005,-0.12600000000000003,0.1571,1,2,-4,2,0.08299999999999996,-0.12600000000000003,False,3
Red,Dan Hooker,Ross Pearson,-5,10.159999999999997,15.240000000000009,-8.3031,0.02400000000000002,-0.5151,-0.309,0.1667,-8,-8,0,-2,0.02400000000000002,-0.309,False,3
Red,Ion Cutelaba,Henrique da Silva,-4,-5.0800000000000125,-2.539999999999992,11.916699999999999,-0.30999999999999994,1.75,0.19999999999999996,-0.25,-1,0,0,-1,-0.30999999999999994,0.19999999999999996,False,3
Blue,Tim Elliott,Ben Nguyen,2,5.0800000000000125,2.539999999999992,15.625,0.007000000000000006,4.375,0.669,0.5,0,4,0,0,0.007000000000000006,0.669,False,3
